latitude,longitude,elevation_m
18.87,72.77,0.0
18.87,72.775,0.0
18.87,72.78,0.0
18.87,72.785,8.17
18.87,72.79,15.45
18.87,72.795,20.97
18.87,72.8,26.01
18.87,72.805,22.89
18.87,72.81,20.11
18.87,72.815,15.95
18.87,72.82,13.41
18.87,72.825,9.11
18.87,72.83,3.81
18.87,72.835,1.16
18.87,72.84,5.39
18.87,72.845,0.0
18.87,72.85,0.0
18.87,72.855,1.6
18.87,72.86,6.34
18.87,72.865,8.27
18.87,72.87,16.94
18.87,72.875,24.94
18.87,72.88,36.49
18.87,72.885,41.03
18.87,72.89,44.59
18.87,72.895,45.08
18.87,72.9,35.19
18.87,72.905,27.06
18.87,72.91,13.35
18.87,72.915,1.48
18.87,72.92,1.63
18.87,72.925,0.0
18.87,72.93,5.3
18.87,72.935,16.52
18.87,72.94,30.98
18.87,72.945,39.0
18.87,72.95,46.29
18.87,72.955,52.47
18.87,72.96,51.72
18.87,72.965,48.21
18.87,72.97,45.05
18.87,72.975,37.56
18.87,72.98,32.68
18.87,72.985,37.64
18.87,72.99,31.65
18.87,72.995,30.25
18.87,73.0,26.91
18.875,72.77,0.0
18.875,72.775,0.0
18.875,72.78,0.0
18.875,72.785,7.32
18.875,72.79,17.42
18.875,72.795,22.97
18.875,72.8,23.72
18.875,72.805,20.01
18.875,72.81,15.08
18.875,72.815,11.17
18.875,72.82,4.94
18.875,72.825,2.54
18.875,72.83,6.24
18.875,72.835,6.34
18.875,72.84,7.5
18.875,72.845,4.03
18.875,72.85,0.51
18.875,72.855,0.0
18.875,72.86,1.07
18.875,72.865,7.73
18.875,72.87,17.08
18.875,72.875,23.99
18.875,72.88,31.57
18.875,72.885,40.31
18.875,72.89,44.16
18.875,72.895,43.26
18.875,72.9,39.09
18.875,72.905,28.28
18.875,72.91,13.62
18.875,72.915,4.6
18.875,72.92,0.0
18.875,72.925,0.0
18.875,72.93,11.09
18.875,72.935,13.93
18.875,72.94,27.26
18.875,72.945,45.37
18.875,72.95,49.01
18.875,72.955,49.36
18.875,72.96,51.49
18.875,72.965,47.51
18.875,72.97,38.32
18.875,72.975,35.74
18.875,72.98,36.06
18.875,72.985,31.78
18.875,72.99,33.97
18.875,72.995,36.16
18.875,73.0,27.67
18.88,72.77,0.0
18.88,72.775,0.0
18.88,72.78,0.0
18.88,72.785,5.25
18.88,72.79,15.44
18.88,72.795,16.18
18.88,72.8,15.75
18.88,72.805,19.55
18.88,72.81,15.31
18.88,72.815,11.19
18.88,72.82,8.73
18.88,72.825,9.66
18.88,72.83,7.76
18.88,72.835,8.4
18.88,72.84,5.49
18.88,72.845,2.43
18.88,72.85,6.78
18.88,72.855,7.6
18.88,72.86,6.27
18.88,72.865,11.91
18.88,72.87,15.04
18.88,72.875,22.61
18.88,72.88,33.53
18.88,72.885,35.16
18.88,72.89,37.75
18.88,72.895,33.56
18.88,72.9,33.81
18.88,72.905,23.61
18.88,72.91,17.29
18.88,72.915,9.86
18.88,72.92,6.4
18.88,72.925,8.08
18.88,72.93,13.29
18.88,72.935,23.6
18.88,72.94,33.15
18.88,72.945,39.34
18.88,72.95,46.07
18.88,72.955,47.63
18.88,72.96,46.44
18.88,72.965,45.94
18.88,72.97,37.28
18.88,72.975,35.76
18.88,72.98,33.7
18.88,72.985,33.99
18.88,72.99,35.82
18.88,72.995,32.1
18.88,73.0,34.88
18.885,72.77,0.0
18.885,72.775,0.0
18.885,72.78,0.0
18.885,72.785,4.84
18.885,72.79,3.26
18.885,72.795,7.6
18.885,72.8,8.2
18.885,72.805,10.72
18.885,72.81,10.81
18.885,72.815,13.31
18.885,72.82,12.64
18.885,72.825,11.6
18.885,72.83,7.01
18.885,72.835,8.14
18.885,72.84,6.66
18.885,72.845,6.6
18.885,72.85,5.57
18.885,72.855,10.65
18.885,72.86,13.72
18.885,72.865,16.88
18.885,72.87,20.72
18.885,72.875,24.1
18.885,72.88,22.55
18.885,72.885,25.45
18.885,72.89,27.15
18.885,72.895,25.05
18.885,72.9,26.43
18.885,72.905,23.36
18.885,72.91,18.0
18.885,72.915,22.7
18.885,72.92,20.5
18.885,72.925,17.69
18.885,72.93,22.07
18.885,72.935,22.19
18.885,72.94,29.01
18.885,72.945,30.59
18.885,72.95,31.99
18.885,72.955,38.3
18.885,72.96,39.76
18.885,72.965,39.62
18.885,72.97,37.83
18.885,72.975,37.94
18.885,72.98,36.52
18.885,72.985,38.03
18.885,72.99,31.6
18.885,72.995,33.84
18.885,73.0,33.29
18.89,72.77,8.95
18.89,72.775,4.24
18.89,72.78,1.02
18.89,72.785,0.0
18.89,72.79,0.0
18.89,72.795,0.0
18.89,72.8,2.78
18.89,72.805,7.59
18.89,72.81,9.64
18.89,72.815,11.67
18.89,72.82,11.94
18.89,72.825,12.4
18.89,72.83,10.46
18.89,72.835,10.84
18.89,72.84,7.27
18.89,72.845,9.51
18.89,72.85,10.0
18.89,72.855,16.08
18.89,72.86,20.55
18.89,72.865,22.8
18.89,72.87,23.57
18.89,72.875,22.09
18.89,72.88,19.52
18.89,72.885,17.49
18.89,72.89,8.54
18.89,72.895,15.62
18.89,72.9,12.96
18.89,72.905,22.03
18.89,72.91,31.89
18.89,72.915,32.02
18.89,72.92,35.25
18.89,72.925,34.32
18.89,72.93,33.9
18.89,72.935,29.57
18.89,72.94,23.96
18.89,72.945,23.15
18.89,72.95,21.63
18.89,72.955,26.55
18.89,72.96,30.48
18.89,72.965,36.37
18.89,72.97,38.34
18.89,72.975,40.94
18.89,72.98,40.79
18.89,72.985,38.75
18.89,72.99,36.6
18.89,72.995,34.12
18.89,73.0,33.23
18.895,72.77,16.56
18.895,72.775,10.15
18.895,72.78,4.77
18.895,72.785,0.0
18.895,72.79,0.0
18.895,72.795,0.0
18.895,72.8,0.0
18.895,72.805,0.0
18.895,72.81,6.6
18.895,72.815,12.22
18.895,72.82,11.21
18.895,72.825,12.93
