event_id,timestamp,latitude,longitude,water_depth_cm,rainfall_mm,duration_hrs,road_id,ward,affected_area_sqm
EVT00000,2023-08-18 00:00,19.20115,72.81844,9.8,17.0,22.5,R0115,Ward_23,36813.0
EVT00001,2020-11-17 00:00,19.23926,72.94849,1.8,0.0,17.7,R0153,Ward_22,45628.0
EVT00002,2019-10-24 00:00,18.93368,72.77496,20.5,80.0,8.8,R0347,Ward_16,49517.0
EVT00003,2021-05-02 00:00,19.17309,72.85994,24.0,71.8,17.7,R0144,Ward_23,46161.0
EVT00004,2016-07-03 00:00,19.15044,72.89604,4.2,23.8,4.0,R0385,Ward_19,43306.0
EVT00005,2018-10-28 00:00,18.89165,72.98495,0.4,21.4,11.5,R0083,Ward_19,6964.0
EVT00006,2017-01-14 00:00,19.14838,72.83695,22.1,65.3,5.8,R0411,Ward_24,9863.0
EVT00007,2021-11-13 00:00,19.1305,72.85331,12.5,28.7,3.3,R0402,Ward_5,18890.0
EVT00008,2017-04-20 00:00,19.26308,72.92627,0.6,0.0,22.3,R0049,Ward_12,48711.0
EVT00009,2021-03-12 00:00,18.94185,72.78207,2.7,8.0,16.0,R0303,Ward_14,48489.0
EVT00010,2015-10-18 00:00,19.12079,72.86292,1.9,0.0,3.7,R0203,Ward_16,15204.0
EVT00011,2023-10-09 00:00,19.10846,72.80967,23.5,62.4,9.6,R0354,Ward_22,32960.0
EVT00012,2022-09-15 00:00,19.18109,72.96893,1.0,17.3,9.8,R0323,Ward_21,22311.0
EVT00013,2016-10-12 00:00,18.87464,72.79682,11.5,31.5,12.3,R0342,Ward_17,11324.0
EVT00014,2020-10-16 00:00,19.10474,72.99709,0.2,0.0,7.3,R0381,Ward_4,39738.0
EVT00015,2022-08-23 00:00,18.94244,72.88136,5.3,27.0,17.2,R0152,Ward_19,6349.0
EVT00016,2024-05-01 00:00,19.00009,72.93417,2.5,8.7,13.4,R0207,Ward_23,1085.0
EVT00017,2021-05-11 00:00,19.09242,72.89338,17.7,47.6,12.2,R0265,Ward_19,26995.0
EVT00018,2023-11-12 00:00,19.19753,72.91989,20.8,73.1,18.3,R0494,Ward_22,44890.0
