latitude,longitude,elevation_m,slope,curvature,flow_accumulation
18.87,72.77,0.0,0.0,0.0,664.9
18.87,72.775,0.0,0.0,0.0,664.9
18.87,72.78,0.0,1.6864,0.000106,664.9
18.87,72.785,8.17,1.5028,-1.2e-05,583.2
18.87,72.79,15.45,1.1396,-2.3e-05,510.4
18.87,72.795,20.97,1.0405,-6e-06,455.2
18.87,72.8,26.01,0.6442,-0.000106,404.8
18.87,72.805,22.89,0.574,4e-06,436.0
18.87,72.81,20.11,0.8589,-1.8e-05,463.8
18.87,72.815,15.95,0.5244,2.1e-05,505.4
18.87,72.82,13.41,0.8878,-2.3e-05,530.8
18.87,72.825,9.11,1.0942,-1.3e-05,573.8
18.87,72.83,3.81,0.5471,3.4e-05,626.8
18.87,72.835,1.16,0.8733,8.9e-05,653.3
18.87,72.84,5.39,1.1127,-0.000125,611.0
18.87,72.845,0.0,0.0,7e-05,664.9
18.87,72.85,0.0,0.3304,2.1e-05,664.9
18.87,72.855,1.6,0.9786,4.1e-05,648.9
18.87,72.86,6.34,0.3985,-3.6e-05,601.5
18.87,72.865,8.27,1.7895,8.8e-05,582.2
18.87,72.87,16.94,1.6513,-9e-06,495.5
18.87,72.875,24.94,2.3834,4.6e-05,415.5
18.87,72.88,36.49,0.9373,-9.1e-05,300.0
18.87,72.885,41.03,0.735,-1.3e-05,254.6
18.87,72.89,44.59,0.1012,-4e-05,219.0
18.87,72.895,45.08,2.0411,-0.000135,214.1
18.87,72.9,35.19,1.6781,2.3e-05,313.0
18.87,72.905,27.06,2.8284,-7.2e-05,394.3
18.87,72.91,13.35,2.4493,2.4e-05,531.4
18.87,72.915,1.48,0.031,0.000156,650.1
18.87,72.92,1.63,0.3365,-2.3e-05,648.6
18.87,72.925,0.0,1.0942,9e-05,664.9
18.87,72.93,5.3,2.3153,7.7e-05,611.9
18.87,72.935,16.52,2.9829,4.2e-05,499.7
18.87,72.94,30.98,1.6554,-8.4e-05,355.1
18.87,72.945,39.0,1.5048,-9e-06,274.9
18.87,72.95,46.29,1.2758,-1.4e-05,202.0
18.87,72.955,52.47,0.1549,-9e-05,140.2
18.87,72.96,51.72,0.7247,-3.6e-05,147.7
18.87,72.965,48.21,0.6524,5e-06,182.8
18.87,72.97,45.05,1.5461,-5.6e-05,214.4
18.87,72.975,37.56,1.0075,3.4e-05,289.3
18.87,72.98,32.68,1.024,0.000128,338.1
18.87,72.985,37.64,1.2366,-0.000142,288.5
18.87,72.99,31.65,0.2891,6e-05,348.4
18.87,72.995,30.25,0.6896,-2.5e-05,362.4
18.87,73.0,26.91,5.5388,-0.000306,395.8
18.875,72.77,0.0,0.0,0.000349,664.9
18.875,72.775,0.0,0.0,0.0,664.9
