node_id,node_type,latitude,longitude,capacity_ls
N0000,inlet,18.89457,72.905807,107.7
N0001,junction,19.103587,72.945995,331.3
N0002,inlet,19.008057,72.852194,208.1
N0003,manhole,18.963849,72.841783,88.2
N0004,inlet,18.915789,72.809049,292.3
N0005,junction,19.215347,72.900651,455.6
N0006,junction,19.05788,72.775114,192.4
N0007,inlet,19.099015,72.955915,95.0
N0008,inlet,19.068693,72.956635,350.3
N0009,inlet,19.015334,72.870278,273.6
N0010,manhole,19.206152,72.893242,179.3
N0011,junction,19.030811,72.821954,384.3
N0012,junction,18.907893,72.847473,80.3
N0013,inlet,19.040842,72.849883,84.5
N0014,junction,19.191651,72.869569,293.0
N0015,inlet,18.970506,72.888535,352.2
N0016,manhole,19.121138,72.888732,133.9
N0017,junction,19.254847,72.940708,260.3
N0018,junction,19.193573,72.966138,458.1
N0019,junction,19.120703,72.890122,213.9
N0020,manhole,19.168573,72.946072,429.9
N0021,manhole,19.123571,72.964572,170.1
N0022,manhole,18.972579,72.908283,232.6
N0023,manhole,18.881082,72.95332,189.7
N0024,inlet,19.038808,72.978301,140.9
N0025,manhole,18.973359,72.954814,346.4
N0026,manhole,19.255515,72.881744,59.0
N0027,manhole,18.995562,72.838535,78.6
N0028,inlet,19.138669,72.973715,228.6
N0029,manhole,18.964416,72.901324,275.1
N0030,junction,19.201593,72.988425,469.2
N0031,manhole,18.965231,72.798124,413.0
N0032,junction,19.164895,72.955344,384.8
N0033,manhole,18.927711,72.810285,486.5
N0034,inlet,19.21516,72.782863,290.1
N0035,manhole,18.996596,72.86747,357.2
N0036,manhole,19.015199,72.934604,419.6
N0037,junction,18.883924,72.940073,409.5
N0038,junction,18.96587,72.897127,189.2
N0039,inlet,19.231263,72.927607,290.7
N0040,inlet,19.025388,72.979251,226.8
N0041,inlet,18.990355,72.985354,390.5
N0042,manhole,19.236356,72.915211,445.8
N0043,inlet,19.185727,72.833028,86.0
N0044,inlet,19.058437,72.864981,428.5
N0045,manhole,19.19976,72.930651,277.9
N0046,junction,19.161693,72.895977,197.0
N0047,manhole,19.126549,72.81226,249.5
N0048,manhole,19.030265,72.914508,191.2
N0049,manhole,18.969841,72.93412,395.4
N0050,manhole,19.208784,72.927723,406.7
N0051,inlet,19.219402,72.800707,128.1
N0052,inlet,19.189811,72.815693,236.5
