road_id,ward,rainfall_mm_hr,elevation,slope,curvature,flow_accumulation,distance_to_drain,drain_capacity,impervious_ratio,road_width,historical_flood_score,water_depth_cm
R0000,Ward_14,6.272916666666666,0.7,2.004,0.000117,657.9,1324.624534494392,299.6,0.95,22,2.6399999999999997,46.9
R0001,Ward_8,6.425833333333333,0.78,1.2428,6.8e-05,657.1,1496.8249886583371,292.3,0.95,21,7.499999999999999,54.1
R0002,Ward_20,7.222777777777777,0.0,0.0,0.000373,664.9,430.7087191262286,383.2,0.55,5,2.2,37.0
R0003,Ward_12,5.569722222222222,5.88,1.2139,3.5e-05,606.1,1008.256494844871,247.1,0.7,10,8.925,50.7
R0004,Ward_15,5.758472222222222,13.31,0.1383,-4.1e-05,531.8,1198.3013414715836,153.4,0.85,12,3.5,51.3
R0005,Ward_15,6.584444444444444,12.06,0.0867,-9e-06,544.3,765.931440303796,60.8,0.7,7,13.285714285714286,51.7
R0006,Ward_19,5.12375,15.69,1.1767,8e-05,508.0,1652.8174228142755,445.8,0.55,4,17.98,39.6
R0007,Ward_14,4.765416666666667,17.02,1.4182,-4.2e-05,494.7,1550.220963196986,70.2,0.7,10,7.857142857142857,40.5
R0008,Ward_20,5.825277777777778,50.88,1.3398,-8.1e-05,156.1,1497.0649791145397,377.0,0.55,6,7.800000000000001,28.3
R0009,Ward_1,5.066805555555556,20.01,0.1528,-1.2e-05,464.8,354.8312274358448,108.2,0.55,6,1.3,32.8
R0010,Ward_1,7.035,0.0,0.0,0.0,664.9,290.70863694760936,206.9,0.7,10,10.919999999999998,47.3
R0011,Ward_5,5.486666666666666,45.94,1.7875,-0.000106,205.5,1142.4319649797608,189.7,0.7,7,10.116666666666665,31.8
R0012,Ward_15,4.283611111111111,31.67,0.7866,-0.000107,348.2,604.8644027435638,346.4,0.55,5,9.1375,24.9
R0013,Ward_8,6.651527777777777,6.21,2.5091,7.7e-05,602.8,1621.4651152653923,413.0,0.55,3,33.7,52.8
R0014,Ward_19,6.149583333333333,0.0,0.1425,9e-06,664.9,1596.1586901677026,237.3,0.95,22,9.442857142857141,60.2
R0015,Ward_2,5.679305555555556,26.59,2.3401,9.7e-05,399.0,1172.7730967748184,429.9,0.55,3,4.825,29.9
R0016,Ward_4,5.904305555555556,17.06,0.3365,-7.8e-05,494.3,1772.977026728188,433.9,0.55,7,10.0,41.9
R0017,Ward_2,4.813611111111111,30.2,0.1136,-2.7e-05,362.9,1294.7107356595795,108.2,0.95,21,5.233333333333333,43.9
R0018,Ward_19,5.587083333333333,0.0,0.2209,2.1e-05,664.9,633.1125256558422,56.0,0.85,10,5.859999999999999,59.4
R0019,Ward_13,4.94625,12.96,1.872,0.000152,535.3,870.749459835346,107.7,0.95,19,26.8,49.2
R0020,Ward_8,7.621388888888889,3.87,0.4914,1.9e-05,626.2,1951.1999134535897,187.2,0.95,20,11.0,58.5
R0021,Ward_3,5.615277777777778,26.75,0.638,-8.6e-05,397.4,1696.9477303611986,196.4,0.7,8,13.316666666666665,39.6
R0022,Ward_5,5.738333333333333,24.06,1.9731,-6.3e-05,424.3,959.001290809754,277.7,0.85,10,7.5625,38.1
R0023,Ward_17,4.901527777777777,24.28,0.1136,-7.8e-05,422.1,194.38836689241163,380.6,0.7,8,18.7,32.1
R0024,Ward_23,5.181805555555555,35.8,1.2036,7.7e-05,306.9,1480.3749769989354,277.9,0.55,7,3.9,27.7
R0025,Ward_5,5.659722222222222,8.97,0.4563,9.9e-05,575.2,979.345001515572,123.3,0.55,7,10.066666666666666,53.0
R0026,Ward_18,5.727222222222222,10.0,1.2551,7.3e-05,564.9,440.87329560103643,369.1,0.55,5,7.1000000000000005,28.5
R0027,Ward_22,6.363472222222223,7.2,2.2741,5e-05,592.9,1179.0045585802507,125.7,0.55,6,11.275,46.4
R0028,Ward_1,5.615277777777778,23.25,0.5327,-8e-06,432.4,977.785056320086,196.4,0.85,11,12.6,45.2
R0029,Ward_2,5.665,37.78,1.249,-3.1e-05,287.1,600.1535379937828,349.0,0.85,12,5.550000000000001,21.0
R0030,Ward_12,4.795833333333333,37.47,1.5729,-3.7e-05,290.2,1107.185446380916,349.0,0.95,19,11.925,33.4
